variable,label,has_value_labels,used_by_project
d60,DIFFICULTIES PAYING BILLS - LAST YEAR,True,True
d62_1,INTERNET USE FREQ: AT HOME,True,False
d62_2,INTERNET USE FREQ: AT PLACE OF WORK,True,False
d62_3,INTERNET USE FREQ: ON MOBILE DEVICE,True,False
d62_4,INTERNET USE FREQ: SOMEWHERE ELSE,True,False
d62t,INTERNET USE (TOTAL),True,False
netuse,INTERNET USE (INDEX),True,False
d63,SOCIAL CLASS - SELF-ASSESSMENT (5 CAT),True,True
d1,LEFT-RIGHT PLACEMENT,True,False
d1r1,LEFT-RIGHT PLACEMENT - RECODED 3 CAT,True,False
d1r2,LEFT-RIGHT PLACEMENT - RECODED 5 CAT,True,False
d71_1,POLITICAL DISCUSSION - NATIONAL MATTERS,True,False
d71_2,POLITICAL DISCUSSION - EUROPEAN MATTERS,True,False
d71_3,POLITICAL DISCUSSION - LOCAL MATTERS,True,False
polintr_1,POLITICAL INTEREST INDEX (D71 SUMMARIZED) - STRONG,True,False
polintr_2,POLITICAL INTEREST INDEX (D71 SUMMARIZED) - MEDIUM,True,False
polintr_3,POLITICAL INTEREST INDEX (D71 SUMMARIZED) - LOW,True,False
polintr_4,POLITICAL INTEREST INDEX (D71 SUMMARIZED) - NOT AT ALL,True,False
d73_1,DIRECTION THINGS ARE GOING - IN (OUR COUNTRY),True,False
d73_2,DIRECTION THINGS ARE GOING - IN THE EU,True,False
d73_4,DIRECTION THINGS ARE GOING - LIFE PERSONALLY,True,False
sd18a,DEMOCRACY SATISFACTION - COUNTRY,True,False
sd18b,DEMOCRACY SATISFACTION - EUROPEAN UNION,True,False
d72_1,MY VOICE COUNTS - IN THE EU,True,False
d72_2,MY VOICE COUNTS - IN (OUR COUNTRY),True,False
d72_3,COUNTRY VOICE COUNTS IN THE EU,True,False
sd23,RESPONDENT: LIMITED BY PHYSICAL/MENTAL HEALTH PROBL,True,False
capi_cawi,CAPI CAWI,True,False
p1,DATE OF INTERVIEW,True,False
p2,TIME OF INTERVIEW,True,False
p3,DURATION OF INTERVIEW (SECONDS),False,False
p4,N OF PERSONS PRESENT DURING INTERVIEW,True,False
p5,RESPONDENT COOPERATION,True,False
p6,SIZE OF COMMUNITY,True,False
p13,LANGUAGE OF INTERVIEW (ALL LANGUAGES),True,False
region_austria,REGION AUSTRIA,True,False
region_belgium,REGION BELGIUM,True,False
region_bulgaria,REGION BULGARIA,True,False
region_croatia,REGION CROATIA,True,False
region_cyprus,REGION CYPRUS,True,False
region_czechia,REGION CZECHIA,True,False
region_denmark,REGION DENMARK,True,False
region_germany,REGION GERMANY,True,False
region_estonia,REGION ESTONIA,True,False
region_finland,REGION FINLAND,True,False
region_france,REGION FRANCE,True,False
region_greece,REGION GREECE,True,False
region_hungary,REGION HUNGARY,True,False
region_ireland,REGION IRELAND,True,False
region_italy,REGION ITALY,True,False
region_latvia,REGION LATVIA,True,False
region_lithuania,REGION LITHUANIA,True,False
region_luxembourg,REGION LUXEMBOURG,True,False
region_malta,REGION MALTA,True,False
region_netherlands,REGION NETHERLANDS,True,False
region_poland,REGION POLAND,True,False
region_portugal,REGION PORTUGAL,True,False
region_romania,REGION ROMANIA,True,False
region_slovenia,REGION SLOVENIA,True,False
region_slovakia,REGION SLOVAKIA,True,False
region_spain,REGION SPAIN,True,False
region_sweden,REGION SWEDEN,True,False
w1,WEIGHT RESULT FROM TARGET (REDRESSMENT),False,True
w1de,WEIGHT RESULT FROM TARGET (REDRESSMENT) - GERMANY,False,False
w5,WEIGHT EU6,False,False
w6,WEIGHT EU9,False,False
w7,WEIGHT EU10,False,False
w9,WEIGHT EU12+ (INCLUDING DE-E),False,False
w10,WEIGHT EU NMS 3,False,False
w11,WEIGHT EU15,False,False
w85,WEIGHT EURO ZONE 20 (EU27B),False,False
w86,WEIGHT NON-EURO ZONE 20 (EU27B),False,False
w13,WEIGHT EU NMS 10,False,False
w94,WEIGHT EU NMS 13,False,False
w14,WEIGHT EU25,False,False
w22,WEIGHT EU27,False,True
w92,WEIGHT TOTAL (ALL SAMPLES),False,True
